english;catalan
Austria;Àustria
Belgium;Bèlgica
Bulgaria;Bulgària
Croatia;Croàcia
Cyprus;Xipre
Czech Republic;República Txeca
Denmark;Dinamarca
Estonia;Estònia
Finland;Finlàndia
France;França
Germany;Alemanya
Greece;Grècia
Hungary;Hongria
Ireland;Irlanda
Italy;Itàlia
Latvia;Letònia
Liechtenstein;Liechtenstein
Lithuania;Lituània
Luxembourg;Luxemburg
Malta;Malta
Netherlands;Països Baixos
Norway;Noruega
Poland;Polònia
Portugal;Portugal
Romania;Romania
Slovakia;Eslovàquia
Slovenia;Eslovènia
Spain;Espanya
Sweden;Suècia
United Kingdom;Regne Unit
